,name_t1,count_t1,name_t2,count_t2,name_covid_t1,count_covid_t1,name_covid_t2,count_covid_t2,name_tele_t1,count_tele_t1,name_tele_t2,count_tele_t2,name_merge_t1,count_merge_t1,name_merge_t2,count_merge_t2
64,Prenatal/Perinatal Care,439,Doulas,196,Ear Nose & Throat,4.0,Midwives,36,,,Audiologist,3.0,,,Matchmakers,2.0
65,Midwives,411,Spine Surgeons,196,Vitamins & Supplements,4.0,Traditional Chinese Medicine,36,,,Addiction Medicine,3.0,,,Memory Care,2.0
66,Doulas,407,Diagnostic Services,184,Pulmonologist,3.0,Concierge Medicine,35,,,Dentists,3.0,,,Placenta Encapsulations,2.0
67,Tattoo Removal,383,Podiatrists,182,Prenatal/Perinatal Care,3.0,Psychologists,35,,,Career Counseling,3.0,,,Rheumatologists,2.0
68,Health Coach,357,Neurologist,179,Lactation Services,3.0,Tattoo Removal,34,,,Acne Treatment,3.0,,,Podiatrists,2.0
69,Life Coach,344,Assisted Living Facilities,177,Spray Tanning,3.0,Waxing,34,,,Orthotics,3.0,,,Cardiologists,2.0
70,Diagnostic Services,333,Psychologists,177,Ultrasound Imaging Centers,3.0,"Beer, Wine & Spirits",31,,,Ultrasound Imaging Centers,2.0,,,Dance Studios,2.0
71,Endocrinologists,330,Aestheticians,161,Bakeries,3.0,Hospice,31,,,Reiki,2.0,,,Fitness & Instruction,2.0
72,Spine Surgeons,314,Endocrinologists,161,Childbirth Education,3.0,Community Service/Non-Profit,30,,,Preventive Medicine,2.0,,,Preventive Medicine,2.0
73,Gyms,310,Concierge Medicine,157,Hospice,3.0,Retirement Homes,30,,,Matchmakers,2.0,,,Ear Nose & Throat,2.0
74,Aestheticians,309,Oncologist,154,Saunas,3.0,Gastroenterologist,29,,,Insurance,2.0,,,Midwives,2.0
75,Personal Care Services,303,Hypnosis/Hypnotherapy,152,Delis,3.0,Audiologist,29,,,Dance Studios,2.0,,,Laboratory Testing,1.0
76,Oncologist,301,Hospice,150,Retirement Homes,3.0,Diagnostic Services,29,,,Herbal Shops,2.0,,,Naturopathic/Holistic,1.0
77,Traditional Chinese Medicine,287,Vitamins & Supplements,147,Permanent Makeup,2.0,Podiatrists,29,,,Otologists,2.0,,,Boxing,1.0
78,Addiction Medicine,285,Pilates,142,Doulas,2.0,Vitamins & Supplements,28,,,Plastic Surgeons,2.0,,,Tattoo Removal,1.0
79,Childbirth Education,269,Yoga,141,Food Delivery Services,2.0,Addiction Medicine,28,,,Hepatologists,2.0,,,Convenience Stores,1.0
80,Yoga,265,Parenting Classes,137,Food Court,2.0,Spine Surgeons,27,,,Convenience Stores,2.0,,,Diagnostic Services,1.0
81,General Dentistry,261,Acne Treatment,137,General Dentistry,2.0,Parenting Classes,27,,,Nurse Practitioner,2.0,,,Pulmonologist,1.0
82,Cryotherapy,260,Cardiologists,136,Eyelash Service,2.0,Cosmetic Dentists,25,,,Aestheticians,2.0,,,General Dentistry,1.0
83,Acne Treatment,253,Hair Loss Centers,136,Surgeons,2.0,Health Coach,25,,,Memory Care,2.0,,,Doctors,1.0
84,Hospice,235,Gyms,135,Rheumatologists,2.0,Emergency Medicine,24,,,Fitness & Instruction,2.0,,,Osteopathic Physicians,1.0
85,Osteopathic Physicians,214,Community Service/Non-Profit,134,Health & Medical,2.0,Ear Nose & Throat,24,,,Placenta Encapsulations,2.0,,,Optometrists,1.0
86,Pulmonologist,213,Medical Supplies,133,Nephrologists,2.0,Life Coach,24,,,Diagnostic Imaging,2.0,,,Obstetricians & Gynecologists,1.0
87,Orthotics,208,Gastroenterologist,132,Assisted Living Facilities,2.0,Yoga,23,,,Mohels,2.0,,,Hearing Aid Providers,1.0
88,Saunas,199,Ear Nose & Throat,130,Alternative Medicine,2.0,Gyms,22,,,Gerontologists,2.0,,,Skilled Nursing,1.0
89,Reiki,197,Audiologist,129,Memory Care,2.0,Aestheticians,21,,,Fertility,2.0,,,,
90,Hair Removal,196,Osteopathic Physicians,123,Halotherapy,2.0,Alternative Medicine,20,,,Ear Nose & Throat,2.0,,,,
91,Rheumatologists,186,Grocery,121,Anesthesiologists,2.0,Hair Loss Centers,20,,,Vascular Medicine,2.0,,,,
92,Vitamins & Supplements,186,Bakeries,115,Preventive Medicine,2.0,General Dentistry,19,,,Tattoo Removal,2.0,,,,
93,Nurse Practitioner,186,Placenta Encapsulations,113,Juice Bars & Smoothies,2.0,Neurologist,19,,,Astrologers,2.0,,,,
94,Vascular Medicine,180,Preventive Medicine,112,Fertility,2.0,Endocrinologists,18,,,Podiatrists,2.0,,,,
95,Community Service/Non-Profit,179,Retirement Homes,109,Midwives,2.0,Elder Care Planning,18,,,Drugstores,2.0,,,,
96,Assisted Living Facilities,175,Nurse Practitioner,102,Spine Surgeons,2.0,Osteopathic Physicians,17,,,Home Health Care,2.0,,,,
97,Eyelash Service,173,Vascular Medicine,101,Hair Removal,2.0,Vascular Medicine,15,,,Sports Clubs,1.0,,,,
98,Anesthesiologists,173,Behavior Analysts,100,Health Markets,2.0,Acne Treatment,15,,,Day Spas,1.0,,,,
99,Oral Surgeons,172,Alternative Medicine,99,Wholesale Stores,2.0,Preventive Medicine,15,,,Gastroenterologist,1.0,,,,
100,Reproductive Health Services,168,General Dentistry,98,Health Coach,2.0,Orthotics,14,,,General Dentistry,1.0,,,,
101,Concierge Medicine,168,Reiki,95,Life Coach,2.0,Boot Camps,14,,,Optometrists,1.0,,,,
102,Audiologist,168,Emergency Medicine,88,Urologists,2.0,Oncologist,14,,,Hearing Aid Providers,1.0,,,,
103,Retina Specialists,167,Urologists,88,Hypnosis/Hypnotherapy,2.0,Fitness & Instruction,14,,,Alternative Medicine,1.0,,,,
104,Hypnosis/Hypnotherapy,167,Cosmetic Dentists,88,Yoga,1.0,Nurse Practitioner,13,,,Skilled Nursing,1.0,,,,
105,Hair Loss Centers,165,"Beer, Wine & Spirits",87,Infectious Disease Specialists,1.0,Hearing Aid Providers,13,,,Supernatural Readings,1.0,,,,
106,Cosmetic Dentists,165,Reproductive Health Services,86,Tattoo Removal,1.0,Memory Care,13,,,Osteopathic Physicians,1.0,,,,
107,Pilates,162,Reflexology,84,Gyms,1.0,Rheumatologists,13,,,Boxing,1.0,,,,
108,Retirement Homes,157,Pulmonologist,82,Religious Schools,1.0,Day Spas,12,,,Pulmonologist,1.0,,,,
109,Preventive Medicine,149,Elder Care Planning,81,Osteopathic Physicians,1.0,Placenta Encapsulations,12,,,Hypnosis/Hypnotherapy,1.0,,,,
110,Medical Supplies,148,Gas Stations,80,Proctologists,1.0,Urologists,12,,,Waxing,1.0,,,,
111,Permanent Makeup,148,Dietitians,79,Colleges & Universities,1.0,Hypnosis/Hypnotherapy,12,,,,,,,,
112,Emergency Medicine,147,Anesthesiologists,79,Colonics,1.0,Anesthesiologists,11,,,,,,,,
113,Alternative Medicine,136,Hearing Aid Providers,77,Hearing Aid Providers,1.0,Eyelash Service,11,,,,,,,,
114,Hearing Aid Providers,135,Rheumatologists,76,Reiki,1.0,Health Markets,10,,,,,,,,
115,Parenting Classes,127,Eyelash Service,75,Interval Training Gyms,1.0,Behavior Analysts,10,,,,,,,,
116,Nail Salons,106,Day Spas,74,Parenting Classes,1.0,Delis,10,,,,,,,,
117,Hair Salons,106,Cosmetics & Beauty Supply,71,Audiologist,1.0,Department Stores,10,,,,,,,,
118,Behavior Analysts,103,Hair Removal,71,Reflexology,1.0,Pulmonologist,9,,,,,,,,
119,Juice Bars & Smoothies,102,Fitness & Instruction,65,Oncologist,1.0,Cryotherapy,9,,,,,,,,
120,Placenta Encapsulations,98,Cryotherapy,63,Business Consulting,1.0,Reiki,9,,,,,,,,
121,Dietitians,88,Career Counseling,58,Hair Stylists,1.0,Hair Removal,8,,,,,,,,
122,Health Markets,85,Health Markets,51,Specialty Food,1.0,Cosmetics & Beauty Supply,8,,,,,,,,
123,Fitness & Instruction,83,Hydrotherapy,49,Oxygen Bars,1.0,Saunas,8,,,,,,,,
124,Department Stores,82,Saunas,44,Hair Loss Centers,1.0,Dietitians,7,,,,,,,,
